,index,Month,Year,Letter,Subject,Yes Votes,No Votes,Pass or Fail,Percent,Type Measure,By,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5,Pass_Num,Cost,year,jan_x,jan_y,Adjusted_Cost
0,0,NOV,1961,A,"$115,000,000 Municipal Water System Bonds","197,566","17,354",P,0.919,B,S,Water system,"Facil, imprv",Don Pedro Dam,Hetch Hetchy,,1,115000000,,,29.8,
1,1,NOV,1961,B,"$1,100,000 Fort Funston Bonds","147,807","56,670",P,0.723,B,S,Fort Funston,"Land, acquis",Recreation,"Funston,Fort",Acquisition,1,1100000,,,29.8,1
2,2,NOV,1961,C,"$3,282,000 Public Welfare Bonds","127,884","73,546",F,0.635,B,S,Welfare,Public Welfare,"Land, acquis",Building,,0,3282000,,,29.8,
3,9,JUN,1962,A,"Airport Bonds $9,800,000","114,592","47,406",P,0.7070000000000001,B,S,Airport,Garage,Parking,,,1,9800000,,,30,
4,10,JUN,1962,B,"Public Welfare Bonds $3,545,000","89,700","71,024",F,0.5579999999999999,B,S,Welfare,Public Welfare,Land Acquis,Construction,Building,0,3545000,,,30,
5,13,NOV,1962,A,San Francisco Bay Area Rapid Transit District Bonds,"163,559","80,967",P,0.669,B,S,BART,,,,,1,792000000,,,30,
6,34,JUN,1964,A,"Street Lighting Bonds $7,000,000","172,972","30,966",P,0.848,B,S,Street Light,Lighting,,,,1,7000000,,,30.9,
7,35,JUN,1964,B,"Sewerage/Sewage Disposal Bonds $15,623,000","163,156","36,457",P,0.8170000000000001,B,S,Disposal sys,Sewerage,Sewage,,,1,15623000,,,30.9,
8,39,NOV,1964,A,"Log Cabin Ranch Bonds $1,300,000","196,246","76,014",P,0.721,B,S,Rehab school,Log Cabin,Ranch Bonds,,,1,1300000,,,30.9,
9,40,NOV,1964,B,"School Bonds $31,465,000","210,263","65,663",P,0.762,B,S,New schools,Rehab work,Replacements,Schools,,1,31465000,,,30.9,
10,41,NOV,1964,C,"Fire Department Bonds $4,890,000","206,385","64,474",P,0.762,B,S,Fire Station,Headquarters,Fire Department.,,,1,4890000,,,30.9,
11,42,NOV,1964,D,"Recreation and Park Bonds $9,450,000","157,541","111,922",F,0.585,B,S,Golden Gate,Playgrounds,Recreation,Park Bonds,,0,9450000,,,30.9,
12,47,NOV,1965,A,"Medical Center Bonds Total $33,670,000","154,175","44,976",P,0.774,B,S,General Hosp,Medical,Hospital,Equipment,,1,33670000,,,31.2,
13,48,NOV,1965,B,"War Memorial Bonds Total $29,000,000","62,707","131,235",F,0.32299999999999995,B,S,Opera House,Veterans Bld,Music Center,War Memorial,,0,29000000,,,31.2,
14,55,NOV,1966,A,"Airport General Obligation Bonds $95,500,000","163,657","84,105",F,0.6609999999999999,B,S,Airport Bond,S.F.O.,,,,0,95500000,,,31.8,
15,56,NOV,1966,B,"Muni Transit Bonds, Total $96,500,000","143,135","104,251",F,0.579,B,S,Muni Railway,Transit,Transportation,,,0,96500000,,,31.8,
16,72,NOV,1967,A,"Airport Bonds Total $98,000,000","156,060","71,462",P,0.6859999999999999,B,S,Airport,S.F.O.,,,,1,98000000,,,32.9,
17,88,JUN,1968,A,"Market St. Reconstruction. & Improvement. $24,500,000","152,999","66,198",P,0.698,B,S,Market St.,Streets,,,,1,24500000,,,34.1,
18,89,JUN,1968,B,"Recreation & Park Bonds $14,885,000","127,391","87,977",F,0.5920000000000001,B,S,Recreation,Parks,,,,0,14885000,,,34.1,
19,90,JUN,1968,C,"Cliff House - Sutro Baths  $5,700,000","89,848","124,179",F,0.42,B,S,Sutro Baths,Twelve Acres,Rec & Park,Baths,Point Lobos,0,5700000,,,34.1,
20,91,JUN,1968,D,"Sewer & Water Pollution Cont. Bonds $17,500,000","161,589","53,231",P,0.752,B,S,Sewer,Water,,,,1,17500000,,,34.1,
21,103,NOV,1968,A,"Bayview/Hunters Point Rec./Park Bonds $6,425,000","176,667","93,096",F,0.655,B,S,Bayview,Hunters Pt.,Park,Recreations,,0,6425000,,,34.1,
22,114,NOV,1969,A,"Recreation and Park Bonds $9,998,000","103,997","79,056",F,0.568,B,S,Recreation,Parks,,,,0,9998000,,,35.6,
23,115,NOV,1969,B,"School Bonds $5,000,000","95,842","87,306",F,0.523,B,S,Hunters Pt.,Redevelopment,Schools,Education,,0,5000000,,,35.6,
24,116,NOV,1969,C,"Multiple Improvement Bonds $4,930,000","82,816","94,078",F,0.46799999999999997,B,S,Improvements,Health,Jails,,,0,4930000,,,35.6,
25,131,JUN,1970,A,"Public School Building Bonds $45,000,000","77,448","96,811",F,0.444,B,S,School,Building,Education,Public School,,0,45000000,,,37.8,
26,132,JUN,1970,B,"Street Lighting Improvement Bonds $5,000,000","112,893","62,147",F,0.645,B,S,Street Light,Lighting,Crime,,,0,5000000,,,37.8,
27,133,JUN,1970,C,"Fire protection systems improvement bonds $5,767,000","107,495","65,370",F,0.622,B,S,Fire Prot,Hi pressure,Water System,,,0,5767000,,,37.8,
28,140,NOV,1970,A,"Water Pollution Control Bonds $65,000,000","177,122","47,624",P,0.7879999999999999,B,S,Water Pollution,Pollution,Sewage,Clean Water,,1,65000000,,,37.8,
29,141,NOV,1970,B,"School Bonds $5,498,000","142,000","81,339",F,0.636,B,S,School Bonds,Hunters Pt.,Redevelopment,Education,,0,5498000,,,37.8,
30,150,NOV,1971,A,"Public School Building Bonds $56,180,000","107,909","122,184",F,0.469,B,S,School Bonds,Education,Field Act,,,0,56180000,,,39.8,
31,151,NOV,1971,B,"Harbor Improvement Bonds $34,000,000","160,821","67,179",P,0.705,B,S,Port Bonds,Harbor Bonds,Pier 94,,,1,34000000,,,39.8,
